archivo,ruta,equipo,tamano_mb,creacion,modificacion,acceso,tipo,bandas,width,height,proyeccion,error,features,geometria,epsg,atributos,num_atributos,xmin,xmax,ymin,ymax
basic_1.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\basic_1.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
basic_2.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\basic_2.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
basic_dark.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\basic_dark.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
basic_side.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\basic_side.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
ceramic_dark.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\ceramic_dark.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
ceramic_lightbulb.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\ceramic_lightbulb.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
check_normal+y.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\check_normal+y.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
check_rim_dark.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\check_rim_dark.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
check_rim_light.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\check_rim_light.jpg,Griselda,0.01,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
clay_brown.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\clay_brown.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
clay_muddy.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\clay_muddy.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
clay_studio.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\clay_studio.jpg,Griselda,0.0,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
contours_1.jpg,C:/Users\jdelt\Downloads\PotreeConverter_2.1.1_x64_windows\PotreeConverter_windows_x64\3344124179\libs\potree\resources\icons\matcap\contours_1.jpg,Griselda,0.01,Sat May  2 03:02:45 2026,Sat May  2 00:04:10 2026,Tue May  5 18:57:27 2026,raster,3.0,128.0,128.0,,,,,,,,,,,
